rpm,p_int_bar,fuel_mass_mg,status,doe_status,q_total_j,phi_est,objective,abs_work_j,abs_work_net_j,w_comp_est_j,p_max_bar,thermal_efficiency,iter_count,solver_status
10.0,0.01,1.0,Maximum_Iterations_Exceeded,Completed,44.0,0.8057505472924764,232370.76161395948,-138.07947272334889,-141.87841001994198,3.7989372965930848,5.732181589919541,-3.224509318635045,3000,Maximum_Iterations_Exceeded
10.0,0.5807142857142857,72.28571428571429,Maximum_Iterations_Exceeded,Completed,3180.571428571429,1.002976081008593,300084.4040746129,205.31166669723962,-15.298049169201676,220.6097158664413,41.06989169081817,-0.004809842983489567,3000,Maximum_Iterations_Exceeded
10.0,1.1514285714285715,107.92857142857144,Maximum_Iterations_Exceeded,Completed,4748.857142857143,0.755266176773531,623743.9361481335,-210.56619719892967,-647.9866916352191,437.4204944362895,10.779090247771439,-0.1364510812059002,3000,Maximum_Iterations_Exceeded
10.0,1.1514285714285715,143.57142857142858,Maximum_Iterations_Exceeded,Completed,6317.142857142858,1.0046889578522815,471961.1574048392,-6.829409100953725,-444.24990353724326,437.4204944362895,13.735080692085663,-0.07032449852466537,3000,Maximum_Iterations_Exceeded
10.0,1.1514285714285715,179.21428571428572,Maximum_Iterations_Exceeded,Completed,7885.428571428572,1.2541117389310321,536431.1785057785,-8.589941611051515,-446.01043604734105,437.4204944362895,10.646258647774765,-0.05656134375034217,3000,Maximum_Iterations_Exceeded
10.0,1.7221428571428572,143.57142857142858,Maximum_Iterations_Exceeded,Completed,6317.142857142858,0.6717372874566063,262516.1691700632,-157.69281216112495,-811.9240851672627,654.2312730061377,106.74294905226424,-0.12852710529558656,3000,Maximum_Iterations_Exceeded
10.0,1.7221428571428572,179.21428571428572,Maximum_Iterations_Exceeded,Completed,7885.428571428572,0.8385019175266792,51600974.18566662,-208.3956535311421,-862.6269265372798,654.2312730061377,32.77505194724867,-0.10939505934564583,3000,Maximum_Iterations_Exceeded
10.0,1.7221428571428572,214.8571428571429,Maximum_Iterations_Exceeded,Completed,9453.714285714286,1.0052665475967522,54082127.28448878,-102.52538171110525,-756.756654717243,654.2312730061377,17.568858765549535,-0.08004860648907007,3000,Maximum_Iterations_Exceeded
10.0,1.7221428571428572,250.50000000000003,Maximum_Iterations_Exceeded,Completed,11022.0,1.1720311776668249,269700.115171528,338.20159496915574,-316.029678036982,654.2312730061377,20.499665539214643,-0.028672625479675376,3000,Maximum_Iterations_Exceeded
10.0,1.7221428571428572,286.14285714285717,Maximum_Iterations_Exceeded,Completed,12590.285714285714,1.3387958077368978,299364.08780281583,214.18958900952651,-440.0416839966112,654.2312730061377,18.088446955388285,-0.03495088943830026,3000,Maximum_Iterations_Exceeded
10.0,2.2928571428571427,214.8571428571429,Maximum_Iterations_Exceeded,Completed,9453.714285714286,0.7550459957183084,95096435.43157746,221.0959899451643,-649.9460616308215,871.0420515759859,28.098800963110236,-0.06875033896602621,3000,Maximum_Iterations_Exceeded
10.0,2.2928571428571427,250.50000000000003,Maximum_Iterations_Exceeded,Completed,11022.0,0.8803012988643975,82897733.37283874,236.8774147649121,-634.1646368110737,871.0420515759859,15.171753769440807,-0.05753625810298255,3000,Maximum_Iterations_Exceeded
10.0,2.2928571428571427,286.14285714285717,Maximum_Iterations_Exceeded,Completed,12590.285714285714,1.0055566020104865,358249.25661804073,352.43095074239295,-518.6111008335929,871.0420515759859,28.625375639717557,-0.04119136869508409,3000,Maximum_Iterations_Exceeded
10.0,2.2928571428571427,321.78571428571433,Maximum_Iterations_Exceeded,Completed,14158.571428571431,1.1308119051565757,852929.4425298251,-252.59012939130997,-1123.6321809672959,871.0420515759859,51.727890037640016,-0.07936056166654293,3000,Maximum_Iterations_Exceeded
10.0,2.2928571428571427,357.42857142857144,Maximum_Iterations_Exceeded,Completed,15726.857142857143,1.2560672083026645,329284.44629210455,291.7869218112508,-579.2551297647351,871.0420515759859,20.434515918409804,-0.03683222429650049,3000,Maximum_Iterations_Exceeded
10.0,2.2928571428571427,393.0714285714286,Maximum_Iterations_Exceeded,Completed,17295.14285714286,1.3813225114487537,315921.84327498573,375.51025594427114,-495.5317956317147,871.0420515759859,23.014009349683015,-0.02865150058168274,3000,Maximum_Iterations_Exceeded
10.0,2.8635714285714284,250.50000000000003,Maximum_Iterations_Exceeded,Completed,11022.0,0.7048558666387418,243732.0313597399,595.1326442761947,-492.7201858696394,1087.852830145834,57.527151834116246,-0.04470333749497726,3000,Maximum_Iterations_Exceeded
10.0,2.8635714285714284,286.14285714285717,Maximum_Iterations_Exceeded,Completed,12590.285714285714,0.8051475910335898,249347.580368099,725.1194364574555,-362.73339368837856,1087.852830145834,69.85443397612553,-0.028810576814535582,3000,Maximum_Iterations_Exceeded
10.0,2.8635714285714284,321.78571428571433,Maximum_Iterations_Exceeded,Completed,14158.571428571431,0.905439315428438,287274.1188889082,570.9591016464642,-516.8937284993699,1087.852830145834,47.56372851116609,-0.036507477545107345,3000,Maximum_Iterations_Exceeded
10.0,2.8635714285714284,357.42857142857144,Maximum_Iterations_Exceeded,Completed,15726.857142857143,1.0057310398232857,459576.9627718812,130.92740807202296,-956.9254220738112,1087.852830145834,48.34467565214452,-0.06084657687047342,3000,Maximum_Iterations_Exceeded
10.0,2.8635714285714284,393.0714285714286,Maximum_Iterations_Exceeded,Completed,17295.14285714286,1.106022764218134,440141.260714519,131.8472843455791,-956.005545800255,1087.852830145834,23.49746919294221,-0.0552759554342407,3000,Maximum_Iterations_Exceeded
10.0,2.8635714285714284,428.7142857142858,Maximum_Iterations_Exceeded,Completed,18863.428571428572,1.206314488612982,668688.1476619937,242.44619231140928,-845.4066378344248,1087.852830145834,23.618102664850735,-0.04481723111115214,3000,Maximum_Iterations_Exceeded
10.0,2.8635714285714284,464.3571428571429,Maximum_Iterations_Exceeded,Completed,20431.714285714286,1.30660621300783,402093.44546367036,1529.213621018066,441.360790872232,1087.852830145834,220.73938272309255,0.02160175033285525,3000,Maximum_Iterations_Exceeded
10.0,2.8635714285714284,500.0,Maximum_Iterations_Exceeded,Completed,22000.0,1.406897937402678,503375.17963691126,404.7607906456153,-683.0920395002188,1087.852830145834,47.3054688426554,-0.031049638159100855,3000,Maximum_Iterations_Exceeded
10.0,3.434285714285714,286.14285714285717,Maximum_Iterations_Exceeded,Completed,12590.285714285714,0.6713470658181491,15399332.03434075,719.1331519259356,-585.5304567897467,1304.6636087156824,71.10896328840093,-0.04650652654572944,3000,Maximum_Iterations_Exceeded
10.0,3.434285714285714,321.78571428571433,Maximum_Iterations_Exceeded,Completed,14158.571428571431,0.7549721746157669,100792682.16802531,-343.1850129099632,-1647.8486216256456,1304.6636087156824,42.7927729922334,-0.11638523207930095,3000,Maximum_Iterations_Exceeded
10.0,3.434285714285714,357.42857142857144,Maximum_Iterations_Exceeded,Completed,15726.857142857143,0.8385972834133845,164952090.14713913,-221.0026959353388,-1525.6663046510212,1304.6636087156824,36.79635112831222,-0.09701024755247754,3000,Maximum_Iterations_Exceeded
10.0,3.434285714285714,393.0714285714286,Maximum_Iterations_Exceeded,Completed,17295.14285714286,0.9222223922110023,341241.0468871434,566.0390143664697,-738.6245943492127,1304.6636087156824,54.52580800816363,-0.0427070536768745,3000,Maximum_Iterations_Exceeded
10.0,3.434285714285714,428.7142857142858,Maximum_Iterations_Exceeded,Completed,18863.428571428572,1.0058475010086199,5905761.069053661,255.2300563877019,-1049.4335523279806,1304.6636087156824,35.92109515745264,-0.05563323487849402,3000,Maximum_Iterations_Exceeded
10.0,3.434285714285714,464.3571428571429,Maximum_Iterations_Exceeded,Completed,20431.714285714286,1.0894726098062375,2736597.1138575333,1565.264858070317,260.60124935463455,1304.6636087156824,174.14899022874314,0.01275474224582541,3000,Maximum_Iterations_Exceeded
10.0,3.434285714285714,500.0,Maximum_Iterations_Exceeded,Completed,22000.0,1.1730977186038554,22794343.301700898,554.8130236244804,-749.850585091202,1304.6636087156824,49.63477937566353,-0.03408411750414554,3000,Maximum_Iterations_Exceeded
10.0,4.005,357.42857142857144,Maximum_Iterations_Exceeded,Completed,15726.857142857143,0.7190967966205728,15156314.50095418,579.5043901541834,-941.969997131347,1521.4743872855304,57.99014321634939,-0.05989562876897962,3000,Maximum_Iterations_Exceeded
10.0,4.005,393.0714285714286,Maximum_Iterations_Exceeded,Completed,17295.14285714286,0.7908052901284999,321217.21597839735,823.4035477298623,-698.070839555668,1521.4743872855304,71.76962213091217,-0.04036224767391072,3000,Maximum_Iterations_Exceeded
10.0,4.005,428.7142857142858,Optimal,Completed,18863.428571428572,0.8625137836364265,276796.2492109044,3592.444137224668,2070.9697499391377,1521.4743872855304,309.9957318191724,0.10978755755334557,2906,Solve_Succeeded
10.0,4.005,464.3571428571429,Maximum_Iterations_Exceeded,Completed,20431.714285714286,0.9342222771443534,390915.74067851866,663.4566052777261,-858.0177820078043,1521.4743872855304,64.01004477486221,-0.0419944097695084,3000,Maximum_Iterations_Exceeded
10.0,4.005,500.0,Maximum_Iterations_Exceeded,Completed,22000.0,1.0059307706522802,18861832.06730426,1913.259672236034,391.78528495050364,1521.4743872855304,170.30165673720617,0.01780842204320471,3000,Maximum_Iterations_Exceeded
10.0,4.575714285714286,393.0714285714286,Maximum_Iterations_Exceeded,Completed,17295.14285714286,0.6921706621527471,600044.1963154959,-267.8515096869496,-2006.1366755423282,1738.2851658553786,58.94456278221053,-0.11599422404966131,3000,Maximum_Iterations_Exceeded
10.0,4.575714285714286,428.7142857142858,Maximum_Iterations_Exceeded,Completed,18863.428571428572,0.7549351833982897,532628.25396506,764.7785543484515,-973.5066115069271,1738.2851658553786,70.68541646370868,-0.051608147894251076,3000,Maximum_Iterations_Exceeded
10.0,4.575714285714286,464.3571428571429,Maximum_Iterations_Exceeded,Completed,20431.714285714286,0.8176997046438322,694391.3828618313,-9.301813446847177,-1747.5869793022257,1738.2851658553786,51.364053315432535,-0.08553305683821776,3000,Maximum_Iterations_Exceeded
10.0,4.575714285714286,500.0,Maximum_Iterations_Exceeded,Completed,22000.0,0.8804642258893749,338405.9033063013,1007.1360280864487,-731.1491377689299,1738.2851658553786,71.46921384282919,-0.03323405171676954,3000,Maximum_Iterations_Exceeded
10.0,5.146428571428571,428.7142857142858,Maximum_Iterations_Exceeded,Completed,18863.428571428572,0.6712164864468348,282222.92011226097,1248.4178392179426,-706.678105207284,1955.0959444252267,87.68209503074914,-0.037462866441875346,3000,Maximum_Iterations_Exceeded
10.0,5.146428571428571,464.3571428571429,Maximum_Iterations_Exceeded,Completed,20431.714285714286,0.727020722824204,18499861.789075173,3151.592192547939,1196.4962481227121,1955.0959444252267,260.72037378759705,0.05856073706743707,3000,Maximum_Iterations_Exceeded
10.0,5.146428571428571,500.0,Optimal,Completed,22000.0,0.7828249592015734,308099.3143759862,1245.000595996325,-710.0953484289016,1955.0959444252267,82.56383037979971,-0.0322770612922228,2896,Solve_Succeeded
10.0,5.717142857142857,500.0,Maximum_Iterations_Exceeded,Completed,22000.0,0.7046793891863238,298031.87469667615,1636.177934165556,-535.7287888295186,2171.9067229950747,100.6052842136189,-0.02435130858315994,3000,Maximum_Iterations_Exceeded
723.5714285714286,0.01,1.0,Optimal,Completed,44.0,0.8057505472924764,20843.844676049153,-49.25567299465357,-53.05461029124666,3.7989372965930848,1.805584570837278,-1.2057865975283333,1357,Solve_Succeeded
723.5714285714286,0.5807142857142857,72.28571428571429,Optimal,Completed,3180.571428571429,1.002976081008593,57831.56014136898,895.3264248526651,674.7167089862238,220.6097158664413,63.097489534887764,0.21213694587242032,1500,Solve_Succeeded
723.5714285714286,1.1514285714285715,107.92857142857144,Maximum_Iterations_Exceeded,Completed,4748.857142857143,0.755266176773531,49143.93486571873,1501.7044633368766,1064.283968900587,437.4204944362895,89.14226933671026,0.2241137050208805,3000,Maximum_Iterations_Exceeded
723.5714285714286,1.1514285714285715,143.57142857142858,Optimal,Completed,6317.142857142858,1.0046889578522815,56867.21268320226,1977.3998586732341,1539.9793642369445,437.4204944362895,144.29707829089574,0.24377782789820468,894,Solve_Succeeded
723.5714285714286,1.1514285714285715,179.21428571428572,Optimal,Completed,7885.428571428572,1.2541117389310321,71133.97931876562,2319.3136864913895,1881.8931920551,437.4204944362895,171.90097034782497,0.2386545227070854,928,Solve_Succeeded
723.5714285714286,1.7221428571428572,143.57142857142858,Optimal,Completed,6317.142857142858,0.6717372874566063,428204.19580323563,354.7508828107002,-299.4803901954375,654.2312730061377,29.587478413456232,-0.04740756968267893,1185,Solve_Succeeded
723.5714285714286,1.7221428571428572,179.21428571428572,Optimal,Completed,7885.428571428572,0.8385019175266792,46388.41203850014,2745.598377327945,2091.3671043218073,654.2312730061377,199.32499783737532,0.2652192059540681,1037,Solve_Succeeded
723.5714285714286,1.7221428571428572,214.8571428571429,Optimal,Completed,9453.714285714286,1.0052665475967522,55804.068834816026,3095.414473169295,2441.1832001631574,654.2312730061377,226.85345877465483,0.2582247703267363,797,Solve_Succeeded
